PC1_Angstrom,PC2_Angstrom,DeltaG_kJmol
-17.719001,-16.745857,44.908234
-17.719001,-16.169571,44.908234
-17.719001,-15.593285,44.908234
-17.719001,-15.016999,44.908234
-17.719001,-14.440713,44.908234
-17.719001,-13.864427,44.908234
-17.719001,-13.288141,44.908234
-17.719001,-12.711855,44.908234
-17.719001,-12.135569,44.908234
-17.719001,-11.559283,44.908234
-17.719001,-10.982997,44.908234
-17.719001,-10.406711,44.908234
-17.719001,-9.830425,44.908234
-17.719001,-9.254139,44.908234
-17.719001,-8.677853,44.908234
-17.719001,-8.101567,44.908234
-17.719001,-7.525281,44.908234
-17.719001,-6.948995,44.908234
-17.719001,-6.372709,44.908234
-17.719001,-5.796423,44.908234
-17.719001,-5.220137,44.908234
-17.719001,-4.643851,44.908234
-17.719001,-4.067565,44.908234
-17.719001,-3.491279,44.908234
-17.719001,-2.914993,44.908234
-17.719001,-2.338707,44.908234
-17.719001,-1.762421,44.908234
-17.719001,-1.186135,44.908234
-17.719001,-0.609849,44.908234
-17.719001,-0.033563,44.908234
-17.719001,0.542723,44.908234
-17.719001,1.119009,44.908234
-17.719001,1.695295,44.908234
-17.719001,2.271581,44.908234
-17.719001,2.847867,44.908234
-17.719001,3.424153,44.908234
-17.719001,4.000439,44.908234
-17.719001,4.576725,10.449834
-17.719001,5.153011,44.908234
-17.719001,5.729297,44.908234
-17.719001,6.305583,44.908234
-17.719001,6.881869,44.908234
-17.719001,7.458155,44.908234
-17.719001,8.034441,44.908234
-17.719001,8.610727,44.908234
-17.719001,9.187013,44.908234
-17.719001,9.763299,44.908234
-17.719001,10.339585,44.908234
-17.719001,10.915871,44.908234
-17.719001,11.492157,44.908234
-17.078003,-16.745857,44.908234
-17.078003,-16.169571,44.908234
-17.078003,-15.593285,44.908234
-17.078003,-15.016999,44.908234
-17.078003,-14.440713,44.908234
-17.078003,-13.864427,44.908234
-17.078003,-13.288141,44.908234
-17.078003,-12.711855,44.908234
-17.078003,-12.135569,44.908234
-17.078003,-11.559283,44.908234
-17.078003,-10.982997,44.908234
-17.078003,-10.406711,44.908234
-17.078003,-9.830425,44.908234
-17.078003,-9.254139,44.908234
-17.078003,-8.677853,44.908234
-17.078003,-8.101567,44.908234
-17.078003,-7.525281,44.908234
-17.078003,-6.948995,44.908234
-17.078003,-6.372709,44.908234
-17.078003,-5.796423,44.908234
-17.078003,-5.220137,44.908234
-17.078003,-4.643851,44.908234
-17.078003,-4.067565,44.908234
-17.078003,-3.491279,44.908234
-17.078003,-2.914993,44.908234
-17.078003,-2.338707,44.908234
-17.078003,-1.762421,10.449834
-17.078003,-1.186135,10.449834
-17.078003,-0.609849,44.908234
-17.078003,-0.033563,44.908234
-17.078003,0.542723,44.908234
-17.078003,1.119009,10.449834
-17.078003,1.695295,44.908234
-17.078003,2.271581,44.908234
-17.078003,2.847867,10.449834
-17.078003,3.424153,44.908234
-17.078003,4.000439,44.908234
-17.078003,4.576725,44.908234
-17.078003,5.153011,44.908234
-17.078003,5.729297,44.908234
-17.078003,6.305583,44.908234
-17.078003,6.881869,44.908234
-17.078003,7.458155,44.908234
-17.078003,8.034441,44.908234
-17.078003,8.610727,44.908234
-17.078003,9.187013,44.908234
-17.078003,9.763299,44.908234
-17.078003,10.339585,44.908234
-17.078003,10.915871,44.908234
-17.078003,11.492157,44.908234
-16.437005,-16.745857,44.908234
-16.437005,-16.169571,44.908234
-16.437005,-15.593285,44.908234
-16.437005,-15.016999,44.908234
-16.437005,-14.440713,44.908234
-16.437005,-13.864427,44.908234
-16.437005,-13.288141,44.908234
-16.437005,-12.711855,44.908234
-16.437005,-12.135569,44.908234
-16.437005,-11.559283,44.908234
-16.437005,-10.982997,44.908234
-16.437005,-10.406711,44.908234
-16.437005,-9.830425,44.908234
-16.437005,-9.254139,44.908234
-16.437005,-8.677853,44.908234
-16.437005,-8.101567,44.908234
-16.437005,-7.525281,44.908234
-16.437005,-6.948995,44.908234
-16.437005,-6.372709,44.908234
-16.437005,-5.796423,44.908234
-16.437005,-5.220137,44.908234
-16.437005,-4.643851,44.908234
-16.437005,-4.067565,44.908234
-16.437005,-3.491279,44.908234
-16.437005,-2.914993,44.908234
-16.437005,-2.338707,44.908234
-16.437005,-1.762421,10.449834
-16.437005,-1.186135,10.449834
-16.437005,-0.609849,44.908234
-16.437005,-0.033563,44.908234
-16.437005,0.542723,10.449834
-16.437005,1.119009,10.449834
-16.437005,1.695295,44.908234
-16.437005,2.271581,44.908234
-16.437005,2.847867,44.908234
-16.437005,3.424153,10.449834
-16.437005,4.000439,10.449834
-16.437005,4.576725,44.908234
-16.437005,5.153011,44.908234
-16.437005,5.729297,44.908234
-16.437005,6.305583,44.908234
-16.437005,6.881869,44.908234
-16.437005,7.458155,44.908234
-16.437005,8.034441,44.908234
-16.437005,8.610727,44.908234
-16.437005,9.187013,44.908234
-16.437005,9.763299,44.908234
-16.437005,10.339585,44.908234
-16.437005,10.915871,44.908234
-16.437005,11.492157,44.908234
-15.796007,-16.745857,44.908234
-15.796007,-16.169571,44.908234
-15.796007,-15.593285,44.908234
-15.796007,-15.016999,44.908234
-15.796007,-14.440713,44.908234
-15.796007,-13.864427,44.908234
-15.796007,-13.288141,44.908234
-15.796007,-12.711855,44.908234
-15.796007,-12.135569,44.908234
-15.796007,-11.559283,44.908234
-15.796007,-10.982997,44.908234
-15.796007,-10.406711,44.908234
-15.796007,-9.830425,44.908234
-15.796007,-9.254139,44.908234
-15.796007,-8.677853,44.908234
-15.796007,-8.101567,44.908234
-15.796007,-7.525281,44.908234
-15.796007,-6.948995,44.908234
-15.796007,-6.372709,44.908234
-15.796007,-5.796423,44.908234
-15.796007,-5.220137,10.449834
-15.796007,-4.643851,44.908234
-15.796007,-4.067565,10.449834
-15.796007,-3.491279,44.908234
-15.796007,-2.914993,10.449834
-15.796007,-2.338707,44.908234
-15.796007,-1.762421,44.908234
-15.796007,-1.186135,8.720988
-15.796007,-0.609849,44.908234
-15.796007,-0.033563,10.449834
-15.796007,0.542723,10.449834
-15.796007,1.119009,44.908234
-15.796007,1.695295,8.720988
-15.796007,2.271581,8.720988
-15.796007,2.847867,10.449834
-15.796007,3.424153,44.908234
-15.796007,4.000439,44.908234
-15.796007,4.576725,10.449834
-15.796007,5.153011,44.908234
-15.796007,5.729297,44.908234
-15.796007,6.305583,44.908234
-15.796007,6.881869,44.908234
-15.796007,7.458155,44.908234
-15.796007,8.034441,44.908234
-15.796007,8.610727,44.908234
-15.796007,9.187013,44.908234
-15.796007,9.763299,44.908234
-15.796007,10.339585,44.908234
-15.796007,10.915871,44.908234
-15.796007,11.492157,44.908234
-15.155009,-16.745857,44.908234
-15.155009,-16.169571,44.908234
-15.155009,-15.593285,44.908234
-15.155009,-15.016999,44.908234
-15.155009,-14.440713,44.908234
-15.155009,-13.864427,44.908234
-15.155009,-13.288141,44.908234
-15.155009,-12.711855,44.908234
-15.155009,-12.135569,44.908234
-15.155009,-11.559283,44.908234
-15.155009,-10.982997,44.908234
-15.155009,-10.406711,44.908234
-15.155009,-9.830425,44.908234
-15.155009,-9.254139,44.908234
-15.155009,-8.677853,44.908234
-15.155009,-8.101567,44.908234
-15.155009,-7.525281,44.908234
-15.155009,-6.948995,44.908234
-15.155009,-6.372709,10.449834
-15.155009,-5.796423,44.908234
-15.155009,-5.220137,44.908234
-15.155009,-4.643851,44.908234
-15.155009,-4.067565,44.908234
-15.155009,-3.491279,44.908234
-15.155009,-2.914993,44.908234
-15.155009,-2.338707,10.449834
-15.155009,-1.762421,44.908234
-15.155009,-1.186135,44.908234
-15.155009,-0.609849,10.449834
-15.155009,-0.033563,10.449834
-15.155009,0.542723,10.449834
-15.155009,1.119009,10.449834
-15.155009,1.695295,10.449834
-15.155009,2.271581,7.709677
-15.155009,2.847867,10.449834
-15.155009,3.424153,8.720988
-15.155009,4.000439,44.908234
-15.155009,4.576725,44.908234
-15.155009,5.153011,44.908234
-15.155009,5.729297,44.908234
-15.155009,6.305583,44.908234
-15.155009,6.881869,44.908234
-15.155009,7.458155,44.908234
-15.155009,8.034441,44.908234
-15.155009,8.610727,44.908234
-15.155009,9.187013,44.908234
-15.155009,9.763299,44.908234
-15.155009,10.339585,44.908234
-15.155009,10.915871,44.908234
-15.155009,11.492157,44.908234
-14.514011,-16.745857,44.908234
-14.514011,-16.169571,44.908234
-14.514011,-15.593285,44.908234
-14.514011,-15.016999,44.908234
-14.514011,-14.440713,44.908234
-14.514011,-13.864427,44.908234
-14.514011,-13.288141,44.908234
-14.514011,-12.711855,10.449834
-14.514011,-12.135569,44.908234
-14.514011,-11.559283,44.908234
-14.514011,-10.982997,44.908234
-14.514011,-10.406711,44.908234
-14.514011,-9.830425,44.908234
-14.514011,-9.254139,44.908234
-14.514011,-8.677853,44.908234
-14.514011,-8.101567,44.908234
-14.514011,-7.525281,44.908234
-14.514011,-6.948995,10.449834
-14.514011,-6.372709,44.908234
-14.514011,-5.796423,44.908234
-14.514011,-5.220137,44.908234
-14.514011,-4.643851,44.908234
-14.514011,-4.067565,44.908234
-14.514011,-3.491279,10.449834
-14.514011,-2.914993,44.908234
-14.514011,-2.338707,7.709677
-14.514011,-1.762421,10.449834
-14.514011,-1.186135,6.435576
-14.514011,-0.609849,8.720988
-14.514011,-0.033563,10.449834
-14.514011,0.542723,6.435576
-14.514011,1.119009,8.720988
-14.514011,1.695295,7.709677
-14.514011,2.271581,10.449834
-14.514011,2.847867,8.720988
-14.514011,3.424153,10.449834
-14.514011,4.000439,10.449834
-14.514011,4.576725,8.720988
-14.514011,5.153011,44.908234
-14.514011,5.729297,44.908234
-14.514011,6.305583,44.908234
-14.514011,6.881869,44.908234
-14.514011,7.458155,44.908234
-14.514011,8.034441,44.908234
-14.514011,8.610727,44.908234
-14.514011,9.187013,44.908234
-14.514011,9.763299,44.908234
-14.514011,10.339585,44.908234
-14.514011,10.915871,44.908234
-14.514011,11.492157,44.908234
-13.873013,-16.745857,44.908234
-13.873013,-16.169571,44.908234
-13.873013,-15.593285,44.908234
-13.873013,-15.016999,44.908234
-13.873013,-14.440713,44.908234
-13.873013,-13.864427,44.908234
-13.873013,-13.288141,44.908234
-13.873013,-12.711855,10.449834
-13.873013,-12.135569,44.908234
-13.873013,-11.559283,44.908234
-13.873013,-10.982997,44.908234
-13.873013,-10.406711,44.908234
-13.873013,-9.830425,8.720988
-13.873013,-9.254139,44.908234
-13.873013,-8.677853,44.908234
-13.873013,-8.101567,10.449834
-13.873013,-7.525281,44.908234
-13.873013,-6.948995,10.449834
-13.873013,-6.372709,44.908234
-13.873013,-5.796423,44.908234
-13.873013,-5.220137,10.449834
-13.873013,-4.643851,6.992141
-13.873013,-4.067565,8.720988
-13.873013,-3.491279,10.449834
-13.873013,-2.914993,7.709677
-13.873013,-2.338707,6.992141
-13.873013,-1.762421,8.720988
-13.873013,-1.186135,5.980830
-13.873013,-0.609849,7.709677
-13.873013,-0.033563,6.992141
-13.873013,0.542723,8.720988
-13.873013,1.119009,5.980830
-13.873013,1.695295,7.709677
-13.873013,2.271581,6.435576
-13.873013,2.847867,6.992141
-13.873013,3.424153,6.435576
-13.873013,4.000439,8.720988
-13.873013,4.576725,44.908234
-13.873013,5.153011,44.908234
-13.873013,5.729297,44.908234
-13.873013,6.305583,44.908234
-13.873013,6.881869,44.908234
-13.873013,7.458155,44.908234
-13.873013,8.034441,44.908234
-13.873013,8.610727,44.908234
-13.873013,9.187013,44.908234
-13.873013,9.763299,44.908234
-13.873013,10.339585,44.908234
-13.873013,10.915871,44.908234
-13.873013,11.492157,44.908234
-13.232015,-16.745857,44.908234
-13.232015,-16.169571,44.908234
-13.232015,-15.593285,44.908234
-13.232015,-15.016999,44.908234
-13.232015,-14.440713,44.908234
-13.232015,-13.864427,44.908234
-13.232015,-13.288141,10.449834
-13.232015,-12.711855,44.908234
-13.232015,-12.135569,44.908234
-13.232015,-11.559283,44.908234
-13.232015,-10.982997,44.908234
-13.232015,-10.406711,44.908234
-13.232015,-9.830425,44.908234
-13.232015,-9.254139,44.908234
-13.232015,-8.677853,10.449834
-13.232015,-8.101567,8.720988
-13.232015,-7.525281,10.449834
-13.232015,-6.948995,10.449834
-13.232015,-6.372709,44.908234
-13.232015,-5.796423,10.449834
-13.232015,-5.220137,44.908234
-13.232015,-4.643851,8.720988
-13.232015,-4.067565,6.992141
-13.232015,-3.491279,8.720988
-13.232015,-2.914993,8.720988
-13.232015,-2.338707,7.709677
-13.232015,-1.762421,6.992141
-13.232015,-1.186135,5.263293
-13.232015,-0.609849,6.992141
-13.232015,-0.033563,5.980830
-13.232015,0.542723,6.435576
-13.232015,1.119009,6.435576
-13.232015,1.695295,6.435576
-13.232015,2.271581,8.720988
-13.232015,2.847867,6.992141
-13.232015,3.424153,10.449834
-13.232015,4.000439,7.709677
-13.232015,4.576725,44.908234
-13.232015,5.153011,44.908234
-13.232015,5.729297,44.908234
-13.232015,6.305583,44.908234
-13.232015,6.881869,44.908234
-13.232015,7.458155,44.908234
-13.232015,8.034441,44.908234
-13.232015,8.610727,44.908234
-13.232015,9.187013,44.908234
-13.232015,9.763299,44.908234
-13.232015,10.339585,44.908234
-13.232015,10.915871,44.908234
-13.232015,11.492157,44.908234
-12.591017,-16.745857,44.908234
-12.591017,-16.169571,44.908234
-12.591017,-15.593285,44.908234
-12.591017,-15.016999,44.908234
-12.591017,-14.440713,44.908234
-12.591017,-13.864427,44.908234
-12.591017,-13.288141,10.449834
-12.591017,-12.711855,44.908234
-12.591017,-12.135569,10.449834
-12.591017,-11.559283,7.709677
-12.591017,-10.982997,8.720988
-12.591017,-10.406711,7.709677
-12.591017,-9.830425,7.709677
-12.591017,-9.254139,8.720988
-12.591017,-8.677853,44.908234
-12.591017,-8.101567,8.720988
-12.591017,-7.525281,7.709677
-12.591017,-6.948995,8.720988
-12.591017,-6.372709,8.720988
-12.591017,-5.796423,6.992141
-12.591017,-5.220137,7.709677
-12.591017,-4.643851,6.992141
-12.591017,-4.067565,5.980830
-12.591017,-3.491279,6.992141
-12.591017,-2.914993,6.992141
-12.591017,-2.338707,5.980830
-12.591017,-1.762421,5.263293
-12.591017,-1.186135,6.992141
-12.591017,-0.609849,4.052340
-12.591017,-0.033563,6.435576
-12.591017,0.542723,6.992141
-12.591017,1.119009,4.969519
-12.591017,1.695295,5.980830
-12.591017,2.271581,8.720988
-12.591017,2.847867,44.908234
-12.591017,3.424153,6.992141
-12.591017,4.000439,44.908234
-12.591017,4.576725,44.908234
-12.591017,5.153011,10.449834
-12.591017,5.729297,44.908234
-12.591017,6.305583,44.908234
-12.591017,6.881869,44.908234
-12.591017,7.458155,44.908234
-12.591017,8.034441,44.908234
-12.591017,8.610727,44.908234
-12.591017,9.187013,44.908234
-12.591017,9.763299,44.908234
-12.591017,10.339585,44.908234
-12.591017,10.915871,44.908234
-12.591017,11.492157,44.908234
-11.950019,-16.745857,44.908234
-11.950019,-16.169571,44.908234
-11.950019,-15.593285,44.908234
-11.950019,-15.016999,44.908234
-11.950019,-14.440713,44.908234
-11.950019,-13.864427,44.908234
-11.950019,-13.288141,8.720988
-11.950019,-12.711855,44.908234
-11.950019,-12.135569,44.908234
-11.950019,-11.559283,7.709677
-11.950019,-10.982997,10.449834
-11.950019,-10.406711,44.908234
-11.950019,-9.830425,10.449834
-11.950019,-9.254139,7.709677
-11.950019,-8.677853,8.720988
-11.950019,-8.101567,10.449834
-11.950019,-7.525281,7.709677
-11.950019,-6.948995,8.720988
-11.950019,-6.372709,5.980830
-11.950019,-5.796423,6.992141
-11.950019,-5.220137,6.435576
-11.950019,-4.643851,5.263293
-11.950019,-4.067565,5.263293
-11.950019,-3.491279,5.263293
-11.950019,-2.914993,5.263293
-11.950019,-2.338707,4.706729
-11.950019,-1.762421,4.251983
-11.950019,-1.186135,6.435576
-11.950019,-0.609849,8.720988
-11.950019,-0.033563,4.969519
-11.950019,0.542723,4.469006
-11.950019,1.119009,5.596347
-11.950019,1.695295,6.435576
-11.950019,2.271581,6.435576
-11.950019,2.847867,10.449834
-11.950019,3.424153,8.720988
-11.950019,4.000439,7.709677
-11.950019,4.576725,8.720988
-11.950019,5.153011,44.908234
-11.950019,5.729297,44.908234
-11.950019,6.305583,44.908234
-11.950019,6.881869,44.908234
-11.950019,7.458155,44.908234
-11.950019,8.034441,44.908234
-11.950019,8.610727,44.908234
-11.950019,9.187013,44.908234
-11.950019,9.763299,44.908234
-11.950019,10.339585,44.908234
-11.950019,10.915871,44.908234
-11.950019,11.492157,44.908234
-11.309021,-16.745857,44.908234
-11.309021,-16.169571,44.908234
