PC1_Angstrom,PC2_Angstrom,DeltaG_kJmol
-21.894047,-14.487751,9.322493
-21.894047,-13.880253,43.780893
-21.894047,-13.272755,9.322493
-21.894047,-12.665257,43.780893
-21.894047,-12.057759,43.780893
-21.894047,-11.450261,43.780893
-21.894047,-10.842763,43.780893
-21.894047,-10.235265,43.780893
-21.894047,-9.627767,43.780893
-21.894047,-9.020269,43.780893
-21.894047,-8.412771,43.780893
-21.894047,-7.805273,43.780893
-21.894047,-7.197775,43.780893
-21.894047,-6.590277,43.780893
-21.894047,-5.982779,43.780893
-21.894047,-5.375281,43.780893
-21.894047,-4.767783,43.780893
-21.894047,-4.160285,43.780893
-21.894047,-3.552787,43.780893
-21.894047,-2.945289,43.780893
-21.894047,-2.337791,43.780893
-21.894047,-1.730293,43.780893
-21.894047,-1.122795,43.780893
-21.894047,-0.515297,43.780893
-21.894047,0.092201,43.780893
-21.894047,0.699699,43.780893
-21.894047,1.307197,43.780893
-21.894047,1.914695,43.780893
-21.894047,2.522193,43.780893
-21.894047,3.129691,43.780893
-21.894047,3.737189,43.780893
-21.894047,4.344687,43.780893
-21.894047,4.952185,43.780893
-21.894047,5.559683,43.780893
-21.894047,6.167181,43.780893
-21.894047,6.774679,43.780893
-21.894047,7.382177,43.780893
-21.894047,7.989675,43.780893
-21.894047,8.597173,43.780893
-21.894047,9.204671,43.780893
-21.894047,9.812169,43.780893
-21.894047,10.419667,43.780893
-21.894047,11.027165,43.780893
-21.894047,11.634663,43.780893
-21.894047,12.242161,43.780893
-21.894047,12.849659,43.780893
-21.894047,13.457157,43.780893
-21.894047,14.064655,43.780893
-21.894047,14.672153,43.780893
-21.894047,15.279651,43.780893
-21.054941,-14.487751,7.593647
-21.054941,-13.880253,9.322493
-21.054941,-13.272755,9.322493
-21.054941,-12.665257,43.780893
-21.054941,-12.057759,9.322493
-21.054941,-11.450261,6.582336
-21.054941,-10.842763,9.322493
-21.054941,-10.235265,9.322493
-21.054941,-9.627767,43.780893
-21.054941,-9.020269,43.780893
-21.054941,-8.412771,9.322493
-21.054941,-7.805273,43.780893
-21.054941,-7.197775,43.780893
-21.054941,-6.590277,43.780893
-21.054941,-5.982779,43.780893
-21.054941,-5.375281,43.780893
-21.054941,-4.767783,43.780893
-21.054941,-4.160285,43.780893
-21.054941,-3.552787,43.780893
-21.054941,-2.945289,43.780893
-21.054941,-2.337791,43.780893
-21.054941,-1.730293,43.780893
-21.054941,-1.122795,43.780893
-21.054941,-0.515297,43.780893
-21.054941,0.092201,43.780893
-21.054941,0.699699,43.780893
-21.054941,1.307197,43.780893
-21.054941,1.914695,43.780893
-21.054941,2.522193,43.780893
-21.054941,3.129691,43.780893
-21.054941,3.737189,43.780893
-21.054941,4.344687,43.780893
-21.054941,4.952185,43.780893
-21.054941,5.559683,43.780893
-21.054941,6.167181,43.780893
-21.054941,6.774679,43.780893
-21.054941,7.382177,43.780893
-21.054941,7.989675,43.780893
-21.054941,8.597173,43.780893
-21.054941,9.204671,43.780893
-21.054941,9.812169,43.780893
-21.054941,10.419667,43.780893
-21.054941,11.027165,43.780893
-21.054941,11.634663,43.780893
-21.054941,12.242161,43.780893
-21.054941,12.849659,43.780893
-21.054941,13.457157,43.780893
-21.054941,14.064655,43.780893
-21.054941,14.672153,43.780893
-21.054941,15.279651,43.780893
-20.215835,-14.487751,43.780893
-20.215835,-13.880253,7.593647
-20.215835,-13.272755,43.780893
-20.215835,-12.665257,5.864800
-20.215835,-12.057759,5.308235
-20.215835,-11.450261,9.322493
-20.215835,-10.842763,43.780893
-20.215835,-10.235265,6.582336
-20.215835,-9.627767,9.322493
-20.215835,-9.020269,7.593647
-20.215835,-8.412771,9.322493
-20.215835,-7.805273,9.322493
-20.215835,-7.197775,43.780893
-20.215835,-6.590277,43.780893
-20.215835,-5.982779,43.780893
-20.215835,-5.375281,43.780893
-20.215835,-4.767783,43.780893
-20.215835,-4.160285,43.780893
-20.215835,-3.552787,43.780893
-20.215835,-2.945289,43.780893
-20.215835,-2.337791,43.780893
-20.215835,-1.730293,43.780893
-20.215835,-1.122795,43.780893
-20.215835,-0.515297,43.780893
-20.215835,0.092201,43.780893
-20.215835,0.699699,43.780893
-20.215835,1.307197,43.780893
-20.215835,1.914695,43.780893
-20.215835,2.522193,43.780893
-20.215835,3.129691,43.780893
-20.215835,3.737189,43.780893
-20.215835,4.344687,43.780893
-20.215835,4.952185,43.780893
-20.215835,5.559683,43.780893
-20.215835,6.167181,43.780893
-20.215835,6.774679,43.780893
-20.215835,7.382177,43.780893
-20.215835,7.989675,43.780893
-20.215835,8.597173,43.780893
-20.215835,9.204671,43.780893
-20.215835,9.812169,43.780893
-20.215835,10.419667,43.780893
-20.215835,11.027165,43.780893
-20.215835,11.634663,43.780893
-20.215835,12.242161,43.780893
-20.215835,12.849659,43.780893
-20.215835,13.457157,43.780893
-20.215835,14.064655,43.780893
-20.215835,14.672153,43.780893
-20.215835,15.279651,43.780893
-19.376729,-14.487751,43.780893
-19.376729,-13.880253,43.780893
-19.376729,-13.272755,9.322493
-19.376729,-12.665257,6.582336
-19.376729,-12.057759,4.853489
-19.376729,-11.450261,5.308235
-19.376729,-10.842763,5.308235
-19.376729,-10.235265,6.582336
-19.376729,-9.627767,3.842178
-19.376729,-9.020269,6.582336
-19.376729,-8.412771,9.322493
-19.376729,-7.805273,43.780893
-19.376729,-7.197775,6.582336
-19.376729,-6.590277,43.780893
-19.376729,-5.982779,43.780893
-19.376729,-5.375281,43.780893
-19.376729,-4.767783,43.780893
-19.376729,-4.160285,43.780893
-19.376729,-3.552787,43.780893
-19.376729,-2.945289,43.780893
-19.376729,-2.337791,43.780893
-19.376729,-1.730293,43.780893
-19.376729,-1.122795,43.780893
-19.376729,-0.515297,43.780893
-19.376729,0.092201,43.780893
-19.376729,0.699699,43.780893
-19.376729,1.307197,43.780893
-19.376729,1.914695,43.780893
-19.376729,2.522193,43.780893
-19.376729,3.129691,43.780893
-19.376729,3.737189,43.780893
-19.376729,4.344687,43.780893
-19.376729,4.952185,43.780893
-19.376729,5.559683,43.780893
-19.376729,6.167181,43.780893
-19.376729,6.774679,43.780893
-19.376729,7.382177,43.780893
-19.376729,7.989675,43.780893
-19.376729,8.597173,43.780893
-19.376729,9.204671,43.780893
-19.376729,9.812169,43.780893
-19.376729,10.419667,43.780893
-19.376729,11.027165,43.780893
-19.376729,11.634663,43.780893
-19.376729,12.242161,43.780893
-19.376729,12.849659,43.780893
-19.376729,13.457157,43.780893
-19.376729,14.064655,43.780893
-19.376729,14.672153,43.780893
-19.376729,15.279651,43.780893
-18.537623,-14.487751,43.780893
-18.537623,-13.880253,43.780893
-18.537623,-13.272755,6.582336
-18.537623,-12.665257,7.593647
-18.537623,-12.057759,4.135952
-18.537623,-11.450261,5.864800
-18.537623,-10.842763,4.469006
-18.537623,-10.235265,3.341665
-18.537623,-9.627767,4.135952
-18.537623,-9.020269,5.864800
-18.537623,-8.412771,5.308235
-18.537623,-7.805273,9.322493
-18.537623,-7.197775,4.853489
-18.537623,-6.590277,5.308235
-18.537623,-5.982779,9.322493
-18.537623,-5.375281,43.780893
-18.537623,-4.767783,43.780893
-18.537623,-4.160285,9.322493
-18.537623,-3.552787,43.780893
-18.537623,-2.945289,43.780893
-18.537623,-2.337791,43.780893
-18.537623,-1.730293,43.780893
-18.537623,-1.122795,43.780893
-18.537623,-0.515297,43.780893
-18.537623,0.092201,43.780893
-18.537623,0.699699,43.780893
-18.537623,1.307197,43.780893
-18.537623,1.914695,43.780893
-18.537623,2.522193,43.780893
-18.537623,3.129691,43.780893
-18.537623,3.737189,43.780893
-18.537623,4.344687,43.780893
-18.537623,4.952185,43.780893
-18.537623,5.559683,43.780893
-18.537623,6.167181,43.780893
-18.537623,6.774679,43.780893
-18.537623,7.382177,43.780893
-18.537623,7.989675,43.780893
-18.537623,8.597173,43.780893
-18.537623,9.204671,43.780893
-18.537623,9.812169,43.780893
-18.537623,10.419667,43.780893
-18.537623,11.027165,43.780893
-18.537623,11.634663,43.780893
-18.537623,12.242161,43.780893
-18.537623,12.849659,43.780893
-18.537623,13.457157,43.780893
-18.537623,14.064655,43.780893
-18.537623,14.672153,43.780893
-18.537623,15.279651,43.780893
-17.698517,-14.487751,9.322493
-17.698517,-13.880253,43.780893
-17.698517,-13.272755,7.593647
-17.698517,-12.665257,6.582336
-17.698517,-12.057759,4.469006
-17.698517,-11.450261,5.864800
-17.698517,-10.842763,4.135952
-17.698517,-10.235265,2.255895
-17.698517,-9.627767,6.582336
-17.698517,-9.020269,3.341665
-17.698517,-8.412771,2.407105
-17.698517,-7.805273,5.864800
-17.698517,-7.197775,5.308235
-17.698517,-6.590277,4.469006
-17.698517,-5.982779,6.582336
-17.698517,-5.375281,9.322493
-17.698517,-4.767783,43.780893
-17.698517,-4.160285,9.322493
-17.698517,-3.552787,9.322493
-17.698517,-2.945289,43.780893
-17.698517,-2.337791,43.780893
-17.698517,-1.730293,43.780893
-17.698517,-1.122795,43.780893
-17.698517,-0.515297,43.780893
-17.698517,0.092201,43.780893
-17.698517,0.699699,43.780893
-17.698517,1.307197,43.780893
-17.698517,1.914695,43.780893
-17.698517,2.522193,43.780893
-17.698517,3.129691,43.780893
-17.698517,3.737189,43.780893
-17.698517,4.344687,43.780893
-17.698517,4.952185,43.780893
-17.698517,5.559683,43.780893
-17.698517,6.167181,43.780893
-17.698517,6.774679,43.780893
-17.698517,7.382177,43.780893
-17.698517,7.989675,43.780893
-17.698517,8.597173,43.780893
-17.698517,9.204671,43.780893
-17.698517,9.812169,43.780893
-17.698517,10.419667,43.780893
-17.698517,11.027165,43.780893
-17.698517,11.634663,43.780893
-17.698517,12.242161,43.780893
-17.698517,12.849659,43.780893
-17.698517,13.457157,43.780893
-17.698517,14.064655,43.780893
-17.698517,14.672153,43.780893
-17.698517,15.279651,43.780893
-16.859411,-14.487751,43.780893
-16.859411,-13.880253,43.780893
-16.859411,-13.272755,9.322493
-16.859411,-12.665257,5.308235
-16.859411,-12.057759,5.864800
-16.859411,-11.450261,6.582336
-16.859411,-10.842763,3.341665
-16.859411,-10.235265,3.579388
-16.859411,-9.627767,3.842178
-16.859411,-9.020269,2.407105
-16.859411,-8.412771,3.341665
-16.859411,-7.805273,3.341665
-16.859411,-7.197775,4.135952
-16.859411,-6.590277,4.469006
-16.859411,-5.982779,9.322493
-16.859411,-5.375281,5.864800
-16.859411,-4.767783,9.322493
-16.859411,-4.160285,9.322493
-16.859411,-3.552787,43.780893
-16.859411,-2.945289,43.780893
-16.859411,-2.337791,43.780893
-16.859411,-1.730293,43.780893
-16.859411,-1.122795,43.780893
-16.859411,-0.515297,43.780893
-16.859411,0.092201,43.780893
-16.859411,0.699699,43.780893
-16.859411,1.307197,43.780893
-16.859411,1.914695,43.780893
-16.859411,2.522193,43.780893
-16.859411,3.129691,43.780893
-16.859411,3.737189,43.780893
-16.859411,4.344687,43.780893
-16.859411,4.952185,43.780893
-16.859411,5.559683,43.780893
-16.859411,6.167181,43.780893
-16.859411,6.774679,43.780893
-16.859411,7.382177,43.780893
-16.859411,7.989675,43.780893
-16.859411,8.597173,43.780893
-16.859411,9.204671,43.780893
-16.859411,9.812169,43.780893
-16.859411,10.419667,43.780893
-16.859411,11.027165,43.780893
-16.859411,11.634663,43.780893
-16.859411,12.242161,43.780893
-16.859411,12.849659,43.780893
-16.859411,13.457157,43.780893
-16.859411,14.064655,43.780893
-16.859411,14.672153,43.780893
-16.859411,15.279651,43.780893
-16.020305,-14.487751,43.780893
-16.020305,-13.880253,9.322493
-16.020305,-13.272755,43.780893
-16.020305,-12.665257,7.593647
-16.020305,-12.057759,5.308235
-16.020305,-11.450261,4.135952
-16.020305,-10.842763,6.582336
-16.020305,-10.235265,3.124641
-16.020305,-9.627767,2.407105
-16.020305,-9.020269,2.255895
-16.020305,-8.412771,2.113330
-16.020305,-7.805273,2.407105
-16.020305,-7.197775,2.113330
-16.020305,-6.590277,2.924999
-16.020305,-5.982779,3.579388
-16.020305,-5.375281,5.864800
-16.020305,-4.767783,6.582336
-16.020305,-4.160285,9.322493
-16.020305,-3.552787,43.780893
-16.020305,-2.945289,43.780893
-16.020305,-2.337791,43.780893
-16.020305,-1.730293,43.780893
-16.020305,-1.122795,43.780893
-16.020305,-0.515297,43.780893
-16.020305,0.092201,43.780893
-16.020305,0.699699,43.780893
-16.020305,1.307197,43.780893
-16.020305,1.914695,43.780893
-16.020305,2.522193,43.780893
-16.020305,3.129691,43.780893
-16.020305,3.737189,43.780893
-16.020305,4.344687,43.780893
-16.020305,4.952185,43.780893
-16.020305,5.559683,43.780893
-16.020305,6.167181,43.780893
-16.020305,6.774679,43.780893
-16.020305,7.382177,43.780893
-16.020305,7.989675,43.780893
-16.020305,8.597173,43.780893
-16.020305,9.204671,43.780893
-16.020305,9.812169,43.780893
-16.020305,10.419667,43.780893
-16.020305,11.027165,43.780893
-16.020305,11.634663,43.780893
-16.020305,12.242161,43.780893
-16.020305,12.849659,43.780893
-16.020305,13.457157,43.780893
-16.020305,14.064655,43.780893
-16.020305,14.672153,43.780893
-16.020305,15.279651,43.780893
-15.181199,-14.487751,43.780893
-15.181199,-13.880253,9.322493
-15.181199,-13.272755,9.322493
-15.181199,-12.665257,7.593647
-15.181199,-12.057759,6.582336
-15.181199,-11.450261,5.864800
-15.181199,-10.842763,3.579388
-15.181199,-10.235265,4.853489
-15.181199,-9.627767,2.255895
-15.181199,-9.020269,2.113330
-15.181199,-8.412771,1.612817
-15.181199,-7.805273,3.579388
-15.181199,-7.197775,3.124641
-15.181199,-6.590277,3.341665
-15.181199,-5.982779,5.308235
-15.181199,-5.375281,4.853489
-15.181199,-4.767783,6.582336
-15.181199,-4.160285,7.593647
-15.181199,-3.552787,9.322493
-15.181199,-2.945289,43.780893
-15.181199,-2.337791,43.780893
-15.181199,-1.730293,43.780893
-15.181199,-1.122795,43.780893
-15.181199,-0.515297,43.780893
-15.181199,0.092201,43.780893
-15.181199,0.699699,43.780893
-15.181199,1.307197,43.780893
-15.181199,1.914695,43.780893
-15.181199,2.522193,43.780893
-15.181199,3.129691,43.780893
-15.181199,3.737189,43.780893
-15.181199,4.344687,43.780893
-15.181199,4.952185,43.780893
-15.181199,5.559683,43.780893
-15.181199,6.167181,43.780893
-15.181199,6.774679,43.780893
-15.181199,7.382177,43.780893
-15.181199,7.989675,43.780893
-15.181199,8.597173,43.780893
-15.181199,9.204671,43.780893
-15.181199,9.812169,43.780893
-15.181199,10.419667,43.780893
-15.181199,11.027165,43.780893
-15.181199,11.634663,43.780893
-15.181199,12.242161,43.780893
-15.181199,12.849659,43.780893
-15.181199,13.457157,43.780893
-15.181199,14.064655,43.780893
-15.181199,14.672153,43.780893
-15.181199,15.279651,43.780893
-14.342093,-14.487751,43.780893
-14.342093,-13.880253,43.780893
-14.342093,-13.272755,9.322493
-14.342093,-12.665257,9.322493
-14.342093,-12.057759,7.593647
-14.342093,-11.450261,5.864800
-14.342093,-10.842763,4.853489
-14.342093,-10.235265,3.124641
-14.342093,-9.627767,3.842178
-14.342093,-9.020269,2.740159
-14.342093,-8.412771,3.124641
-14.342093,-7.805273,2.568077
-14.342093,-7.197775,1.850540
-14.342093,-6.590277,3.124641
-14.342093,-5.982779,3.842178
-14.342093,-5.375281,4.469006
-14.342093,-4.767783,5.864800
-14.342093,-4.160285,6.582336
-14.342093,-3.552787,43.780893
-14.342093,-2.945289,9.322493
-14.342093,-2.337791,43.780893
-14.342093,-1.730293,43.780893
-14.342093,-1.122795,43.780893
-14.342093,-0.515297,43.780893
-14.342093,0.092201,43.780893
-14.342093,0.699699,43.780893
-14.342093,1.307197,43.780893
-14.342093,1.914695,43.780893
-14.342093,2.522193,43.780893
-14.342093,3.129691,43.780893
-14.342093,3.737189,43.780893
-14.342093,4.344687,43.780893
-14.342093,4.952185,43.780893
-14.342093,5.559683,43.780893
-14.342093,6.167181,43.780893
-14.342093,6.774679,43.780893
-14.342093,7.382177,43.780893
-14.342093,7.989675,43.780893
-14.342093,8.597173,43.780893
-14.342093,9.204671,43.780893
-14.342093,9.812169,43.780893
-14.342093,10.419667,43.780893
-14.342093,11.027165,43.780893
-14.342093,11.634663,43.780893
-14.342093,12.242161,43.780893
-14.342093,12.849659,43.780893
-14.342093,13.457157,43.780893
-14.342093,14.064655,43.780893
-14.342093,14.672153,43.780893
-14.342093,15.279651,43.780893
-13.502987,-14.487751,43.780893
-13.502987,-13.880253,43.780893
-13.502987,-13.272755,6.582336
-13.502987,-12.665257,43.780893
-13.502987,-12.057759,5.308235
-13.502987,-11.450261,5.308235
-13.502987,-10.842763,4.853489
-13.502987,-10.235265,4.469006
-13.502987,-9.627767,3.842178
-13.502987,-9.020269,3.341665
-13.502987,-8.412771,2.113330
-13.502987,-7.805273,1.612817
-13.502987,-7.197775,2.568077
-13.502987,-6.590277,2.924999
-13.502987,-5.982779,3.579388
-13.502987,-5.375281,2.924999
-13.502987,-4.767783,3.579388
-13.502987,-4.160285,5.308235
-13.502987,-3.552787,43.780893
-13.502987,-2.945289,43.780893
-13.502987,-2.337791,43.780893
-13.502987,-1.730293,43.780893
-13.502987,-1.122795,43.780893
-13.502987,-0.515297,43.780893
-13.502987,0.092201,43.780893
-13.502987,0.699699,43.780893
-13.502987,1.307197,43.780893
-13.502987,1.914695,43.780893
-13.502987,2.522193,43.780893
-13.502987,3.129691,43.780893
-13.502987,3.737189,43.780893
-13.502987,4.344687,43.780893
-13.502987,4.952185,43.780893
-13.502987,5.559683,43.780893
-13.502987,6.167181,43.780893
-13.502987,6.774679,43.780893
-13.502987,7.382177,43.780893
-13.502987,7.989675,43.780893
-13.502987,8.597173,43.780893
-13.502987,9.204671,43.780893
-13.502987,9.812169,43.780893
-13.502987,10.419667,43.780893
-13.502987,11.027165,43.780893
-13.502987,11.634663,43.780893
-13.502987,12.242161,43.780893
-13.502987,12.849659,43.780893
-13.502987,13.457157,43.780893
-13.502987,14.064655,43.780893
-13.502987,14.672153,43.780893
-13.502987,15.279651,43.780893
-12.663881,-14.487751,43.780893
-12.663881,-13.880253,43.780893
-12.663881,-13.272755,43.780893
-12.663881,-12.665257,43.780893
-12.663881,-12.057759,9.322493
-12.663881,-11.450261,7.593647
-12.663881,-10.842763,4.469006
-12.663881,-10.235265,4.853489
-12.663881,-9.627767,3.579388
-12.663881,-9.020269,3.341665
-12.663881,-8.412771,2.740159
-12.663881,-7.805273,2.407105
-12.663881,-7.197775,1.978476
-12.663881,-6.590277,2.740159
-12.663881,-5.982779,2.924999
-12.663881,-5.375281,2.740159
-12.663881,-4.767783,3.579388
-12.663881,-4.160285,4.853489
-12.663881,-3.552787,6.582336
-12.663881,-2.945289,43.780893
-12.663881,-2.337791,9.322493
-12.663881,-1.730293,43.780893
-12.663881,-1.122795,43.780893
-12.663881,-0.515297,43.780893
-12.663881,0.092201,43.780893
-12.663881,0.699699,9.322493
-12.663881,1.307197,43.780893
-12.663881,1.914695,43.780893
-12.663881,2.522193,43.780893
-12.663881,3.129691,43.780893
-12.663881,3.737189,43.780893
-12.663881,4.344687,43.780893
-12.663881,4.952185,43.780893
-12.663881,5.559683,43.780893
-12.663881,6.167181,43.780893
-12.663881,6.774679,43.780893
-12.663881,7.382177,43.780893
-12.663881,7.989675,43.780893
-12.663881,8.597173,43.780893
-12.663881,9.204671,43.780893
-12.663881,9.812169,43.780893
-12.663881,10.419667,43.780893
-12.663881,11.027165,43.780893
-12.663881,11.634663,43.780893
-12.663881,12.242161,43.780893
-12.663881,12.849659,43.780893
-12.663881,13.457157,43.780893
-12.663881,14.064655,43.780893
-12.663881,14.672153,43.780893
-12.663881,15.279651,43.780893
-11.824775,-14.487751,43.780893
-11.824775,-13.880253,43.780893
-11.824775,-13.272755,43.780893
-11.824775,-12.665257,7.593647
-11.824775,-12.057759,43.780893
-11.824775,-11.450261,7.593647
-11.824775,-10.842763,43.780893
-11.824775,-10.235265,6.582336
-11.824775,-9.627767,4.853489
-11.824775,-9.020269,3.579388
-11.824775,-8.412771,2.924999
-11.824775,-7.805273,3.579388
-11.824775,-7.197775,1.196151
-11.824775,-6.590277,3.579388
-11.824775,-5.982779,2.924999
-11.824775,-5.375281,2.740159
-11.824775,-4.767783,3.124641
-11.824775,-4.160285,4.135952
-11.824775,-3.552787,7.593647
-11.824775,-2.945289,6.582336
-11.824775,-2.337791,43.780893
-11.824775,-1.730293,43.780893
-11.824775,-1.122795,43.780893
-11.824775,-0.515297,9.322493
-11.824775,0.092201,43.780893
-11.824775,0.699699,43.780893
-11.824775,1.307197,43.780893
-11.824775,1.914695,43.780893
-11.824775,2.522193,43.780893
-11.824775,3.129691,43.780893
-11.824775,3.737189,43.780893
-11.824775,4.344687,43.780893
-11.824775,4.952185,43.780893
-11.824775,5.559683,43.780893
-11.824775,6.167181,43.780893
-11.824775,6.774679,43.780893
-11.824775,7.382177,43.780893
-11.824775,7.989675,43.780893
-11.824775,8.597173,43.780893
-11.824775,9.204671,43.780893
-11.824775,9.812169,43.780893
-11.824775,10.419667,43.780893
-11.824775,11.027165,43.780893
-11.824775,11.634663,43.780893
-11.824775,12.242161,43.780893
-11.824775,12.849659,43.780893
-11.824775,13.457157,43.780893
-11.824775,14.064655,43.780893
-11.824775,14.672153,43.780893
-11.824775,15.279651,43.780893
-10.985669,-14.487751,43.780893
-10.985669,-13.880253,43.780893
-10.985669,-13.272755,9.322493
-10.985669,-12.665257,43.780893
-10.985669,-12.057759,43.780893
-10.985669,-11.450261,7.593647
-10.985669,-10.842763,9.322493
-10.985669,-10.235265,4.469006
-10.985669,-9.627767,9.322493
-10.985669,-9.020269,5.864800
-10.985669,-8.412771,2.924999
-10.985669,-7.805273,2.924999
-10.985669,-7.197775,2.740159
-10.985669,-6.590277,4.135952
-10.985669,-5.982779,2.924999
-10.985669,-5.375281,3.341665
-10.985669,-4.767783,5.864800
-10.985669,-4.160285,3.579388
-10.985669,-3.552787,5.864800
-10.985669,-2.945289,6.582336
-10.985669,-2.337791,43.780893
-10.985669,-1.730293,43.780893
-10.985669,-1.122795,9.322493
-10.985669,-0.515297,43.780893
-10.985669,0.092201,9.322493
-10.985669,0.699699,43.780893
-10.985669,1.307197,9.322493
-10.985669,1.914695,43.780893
-10.985669,2.522193,43.780893
-10.985669,3.129691,43.780893
-10.985669,3.737189,43.780893
-10.985669,4.344687,9.322493
-10.985669,4.952185,43.780893
-10.985669,5.559683,43.780893
-10.985669,6.167181,43.780893
-10.985669,6.774679,43.780893
-10.985669,7.382177,43.780893
-10.985669,7.989675,43.780893
-10.985669,8.597173,43.780893
