GENERALIZED BORN:,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,
1,928.9,2225.82,2963.14,286.5,140.09,-122.22,-2194.55,-17632.12,863.36,10981.52,-4353.17,96.75,-1559.57,-4256.42,-5815.99,,,
11,956.25,2289.35,2928.27,274.46,156.08,-114.49,-2093.99,-17438.66,868.56,10942.13,-4547.42,113.96,-1232.04,-4433.46,-5665.5,,,
21,998.86,2335.31,2963.48,277.68,152.57,-109.49,-2134.4,-17564.53,846.17,10947.31,-4435.48,111.47,-1287.04,-4324.01,-5611.05,,,
31,1013.34,2351.85,2930.36,291.61,162.46,-110.34,-2091.58,-17453.82,847.07,10896.12,-4527,111.84,-1162.91,-4415.15,-5578.07,,,
41,999.95,2290.98,2920.76,295.42,150.37,-106.83,-2101.11,-17537.47,854.35,10869.58,-4417.01,111.84,-1363.99,-4305.17,-5669.15,,,
51,1024.38,2304.5,2950.39,277.61,147.25,-103.87,-2074.58,-17701.35,857.64,10902.59,-4318.45,110.02,-1415.45,-4208.42,-5623.87,,,
61,995.98,2369.07,2917.95,294.57,161.7,-93.98,-2102.06,-17494.9,852.62,10841.4,-4402.02,110.36,-1257.64,-4291.66,-5549.29,,,
71,1009.89,2307.34,2925.22,278.11,154.84,-112.52,-2105.27,-17569.74,813.48,10845.88,-4352.22,111.16,-1452.76,-4241.06,-5693.82,,,
81,986.74,2298.06,2935.41,297.14,162.51,-101.88,-2091.47,-17517.46,859.58,10866.08,-4387.91,112.69,-1305.3,-4275.22,-5580.52,,,
91,1003,2336.48,2963.56,287,165.96,-124.54,-2103.28,-17542.47,840.34,10821.02,-4337.77,111.69,-1352.95,-4226.08,-5579.03,,,
101,1003.65,2285.62,2924.97,286.39,164.7,-133.83,-2054.28,-17409.42,857.15,10853.13,-4514.94,115.4,-1221.94,-4399.55,-5621.48,,,
111,1017.33,2300.38,2911.5,303.66,144.73,-126.65,-2095.59,-17507.56,834.27,10855.96,-4422.57,111.86,-1361.97,-4310.7,-5672.67,,,
121,966.9,2309,2923.25,278.66,155.34,-136.13,-2085.48,-17341.16,854.35,10801.44,-4523.53,111.45,-1273.82,-4412.08,-5685.9,,,
131,946.81,2316.87,2908.01,269.61,145.13,-134.53,-2083.22,-17584.86,887.8,10894.07,-4366.61,110.97,-1434.33,-4255.64,-5689.97,,,
141,966.07,2230.02,2905.41,275.01,160.49,-149.18,-2078.48,-17470.56,868.86,10941.65,-4482.33,114.85,-1350.71,-4367.48,-5718.19,,,
151,979.95,2315.94,2919.26,286.22,163.69,-137.54,-2096.61,-17515.93,847.77,10892.4,-4444.49,112.33,-1344.84,-4332.17,-5677.01,,,
161,1011.57,2315.14,2935.28,286.04,150.2,-133.38,-2055.47,-17450.69,845.79,10869.86,-4501.96,114.88,-1225.67,-4387.08,-5612.75,,,
171,988.31,2326.44,2866.72,293.44,152.92,-138.61,-2052.85,-17462.41,856.06,10878.83,-4474.55,115.39,-1291.14,-4359.16,-5650.29,,,
