PC1_Angstrom,PC2_Angstrom,DeltaG_kJmol
-26.243752,-27.076630,43.896923
-26.243752,-25.994690,43.896923
-26.243752,-24.912750,43.896923
-26.243752,-23.830810,43.896923
-26.243752,-22.748870,43.896923
-26.243752,-21.666930,43.896923
-26.243752,-20.584990,43.896923
-26.243752,-19.503050,43.896923
-26.243752,-18.421110,43.896923
-26.243752,-17.339170,43.896923
-26.243752,-16.257230,43.896923
-26.243752,-15.175290,43.896923
-26.243752,-14.093350,43.896923
-26.243752,-13.011410,43.896923
-26.243752,-11.929470,9.438523
-26.243752,-10.847530,43.896923
-26.243752,-9.765590,43.896923
-26.243752,-8.683650,43.896923
-26.243752,-7.601710,9.438523
-26.243752,-6.519770,43.896923
-26.243752,-5.437830,43.896923
-26.243752,-4.355890,43.896923
-26.243752,-3.273950,43.896923
-26.243752,-2.192010,43.896923
-26.243752,-1.110070,43.896923
-26.243752,-0.028130,43.896923
-26.243752,1.053810,9.438523
-26.243752,2.135750,43.896923
-26.243752,3.217690,43.896923
-26.243752,4.299630,43.896923
-26.243752,5.381570,43.896923
-26.243752,6.463510,43.896923
-26.243752,7.545450,43.896923
-26.243752,8.627390,43.896923
-26.243752,9.709330,43.896923
-26.243752,10.791270,43.896923
-26.243752,11.873210,43.896923
-26.243752,12.955150,43.896923
-26.243752,14.037090,43.896923
-26.243752,15.119030,43.896923
-26.243752,16.200970,43.896923
-26.243752,17.282910,43.896923
-26.243752,18.364850,43.896923
-26.243752,19.446790,43.896923
-26.243752,20.528730,43.896923
-26.243752,21.610670,43.896923
-26.243752,22.692610,43.896923
-26.243752,23.774550,43.896923
-26.243752,24.856490,43.896923
-26.243752,25.938430,43.896923
-25.201056,-27.076630,43.896923
-25.201056,-25.994690,43.896923
-25.201056,-24.912750,43.896923
-25.201056,-23.830810,43.896923
-25.201056,-22.748870,43.896923
-25.201056,-21.666930,43.896923
-25.201056,-20.584990,43.896923
-25.201056,-19.503050,43.896923
-25.201056,-18.421110,43.896923
-25.201056,-17.339170,43.896923
-25.201056,-16.257230,43.896923
-25.201056,-15.175290,43.896923
-25.201056,-14.093350,43.896923
-25.201056,-13.011410,43.896923
-25.201056,-11.929470,9.438523
-25.201056,-10.847530,43.896923
-25.201056,-9.765590,43.896923
-25.201056,-8.683650,43.896923
-25.201056,-7.601710,9.438523
-25.201056,-6.519770,43.896923
-25.201056,-5.437830,43.896923
-25.201056,-4.355890,9.438523
-25.201056,-3.273950,7.709677
-25.201056,-2.192010,9.438523
-25.201056,-1.110070,6.698366
-25.201056,-0.028130,43.896923
-25.201056,1.053810,43.896923
-25.201056,2.135750,43.896923
-25.201056,3.217690,43.896923
-25.201056,4.299630,43.896923
-25.201056,5.381570,43.896923
-25.201056,6.463510,43.896923
-25.201056,7.545450,43.896923
-25.201056,8.627390,43.896923
-25.201056,9.709330,43.896923
-25.201056,10.791270,43.896923
-25.201056,11.873210,43.896923
-25.201056,12.955150,43.896923
-25.201056,14.037090,43.896923
-25.201056,15.119030,43.896923
-25.201056,16.200970,43.896923
-25.201056,17.282910,43.896923
-25.201056,18.364850,43.896923
-25.201056,19.446790,43.896923
-25.201056,20.528730,43.896923
-25.201056,21.610670,43.896923
-25.201056,22.692610,43.896923
-25.201056,23.774550,43.896923
-25.201056,24.856490,43.896923
-25.201056,25.938430,43.896923
-24.158360,-27.076630,43.896923
-24.158360,-25.994690,43.896923
-24.158360,-24.912750,43.896923
-24.158360,-23.830810,43.896923
-24.158360,-22.748870,43.896923
-24.158360,-21.666930,43.896923
-24.158360,-20.584990,43.896923
-24.158360,-19.503050,43.896923
-24.158360,-18.421110,43.896923
-24.158360,-17.339170,43.896923
-24.158360,-16.257230,43.896923
-24.158360,-15.175290,43.896923
-24.158360,-14.093350,9.438523
-24.158360,-13.011410,43.896923
-24.158360,-11.929470,9.438523
-24.158360,-10.847530,9.438523
-24.158360,-9.765590,43.896923
-24.158360,-8.683650,9.438523
-24.158360,-7.601710,7.709677
-24.158360,-6.519770,7.709677
-24.158360,-5.437830,6.698366
-24.158360,-4.355890,7.709677
-24.158360,-3.273950,43.896923
-24.158360,-2.192010,43.896923
-24.158360,-1.110070,43.896923
-24.158360,-0.028130,9.438523
-24.158360,1.053810,7.709677
-24.158360,2.135750,9.438523
-24.158360,3.217690,6.698366
-24.158360,4.299630,9.438523
-24.158360,5.381570,9.438523
-24.158360,6.463510,9.438523
-24.158360,7.545450,43.896923
-24.158360,8.627390,9.438523
-24.158360,9.709330,43.896923
-24.158360,10.791270,43.896923
-24.158360,11.873210,9.438523
-24.158360,12.955150,43.896923
-24.158360,14.037090,43.896923
-24.158360,15.119030,43.896923
-24.158360,16.200970,43.896923
-24.158360,17.282910,43.896923
-24.158360,18.364850,43.896923
-24.158360,19.446790,43.896923
-24.158360,20.528730,43.896923
-24.158360,21.610670,43.896923
-24.158360,22.692610,43.896923
-24.158360,23.774550,43.896923
-24.158360,24.856490,43.896923
-24.158360,25.938430,43.896923
-23.115664,-27.076630,43.896923
-23.115664,-25.994690,43.896923
-23.115664,-24.912750,43.896923
-23.115664,-23.830810,43.896923
-23.115664,-22.748870,43.896923
-23.115664,-21.666930,43.896923
-23.115664,-20.584990,43.896923
-23.115664,-19.503050,43.896923
-23.115664,-18.421110,43.896923
-23.115664,-17.339170,9.438523
-23.115664,-16.257230,43.896923
-23.115664,-15.175290,43.896923
-23.115664,-14.093350,43.896923
-23.115664,-13.011410,43.896923
-23.115664,-11.929470,43.896923
-23.115664,-10.847530,9.438523
-23.115664,-9.765590,43.896923
-23.115664,-8.683650,5.980830
-23.115664,-7.601710,6.698366
-23.115664,-6.519770,6.698366
-23.115664,-5.437830,6.698366
-23.115664,-4.355890,6.698366
-23.115664,-3.273950,43.896923
-23.115664,-2.192010,5.424265
-23.115664,-1.110070,9.438523
-23.115664,-0.028130,9.438523
-23.115664,1.053810,6.698366
-23.115664,2.135750,7.709677
-23.115664,3.217690,7.709677
-23.115664,4.299630,43.896923
-23.115664,5.381570,43.896923
-23.115664,6.463510,9.438523
-23.115664,7.545450,9.438523
-23.115664,8.627390,7.709677
-23.115664,9.709330,6.698366
-23.115664,10.791270,9.438523
-23.115664,11.873210,43.896923
-23.115664,12.955150,7.709677
-23.115664,14.037090,43.896923
-23.115664,15.119030,43.896923
-23.115664,16.200970,43.896923
-23.115664,17.282910,43.896923
-23.115664,18.364850,43.896923
-23.115664,19.446790,43.896923
-23.115664,20.528730,43.896923
-23.115664,21.610670,43.896923
-23.115664,22.692610,43.896923
-23.115664,23.774550,43.896923
-23.115664,24.856490,43.896923
-23.115664,25.938430,43.896923
-22.072968,-27.076630,43.896923
-22.072968,-25.994690,43.896923
-22.072968,-24.912750,43.896923
-22.072968,-23.830810,43.896923
-22.072968,-22.748870,43.896923
-22.072968,-21.666930,43.896923
-22.072968,-20.584990,43.896923
-22.072968,-19.503050,43.896923
-22.072968,-18.421110,43.896923
-22.072968,-17.339170,9.438523
-22.072968,-16.257230,43.896923
-22.072968,-15.175290,7.709677
-22.072968,-14.093350,43.896923
-22.072968,-13.011410,43.896923
-22.072968,-11.929470,6.698366
-22.072968,-10.847530,7.709677
-22.072968,-9.765590,7.709677
-22.072968,-8.683650,9.438523
-22.072968,-7.601710,9.438523
-22.072968,-6.519770,6.698366
-22.072968,-5.437830,9.438523
-22.072968,-4.355890,5.980830
-22.072968,-3.273950,6.698366
-22.072968,-2.192010,3.958208
-22.072968,-1.110070,43.896923
-22.072968,-0.028130,6.698366
-22.072968,1.053810,9.438523
-22.072968,2.135750,9.438523
-22.072968,3.217690,5.980830
-22.072968,4.299630,7.709677
-22.072968,5.381570,6.698366
-22.072968,6.463510,9.438523
-22.072968,7.545450,6.698366
-22.072968,8.627390,43.896923
-22.072968,9.709330,43.896923
-22.072968,10.791270,9.438523
-22.072968,11.873210,9.438523
-22.072968,12.955150,7.709677
-22.072968,14.037090,9.438523
-22.072968,15.119030,43.896923
-22.072968,16.200970,9.438523
-22.072968,17.282910,9.438523
-22.072968,18.364850,43.896923
-22.072968,19.446790,9.438523
-22.072968,20.528730,43.896923
-22.072968,21.610670,43.896923
-22.072968,22.692610,43.896923
-22.072968,23.774550,43.896923
-22.072968,24.856490,43.896923
-22.072968,25.938430,43.896923
-21.030272,-27.076630,43.896923
-21.030272,-25.994690,43.896923
-21.030272,-24.912750,43.896923
-21.030272,-23.830810,43.896923
-21.030272,-22.748870,43.896923
-21.030272,-21.666930,43.896923
-21.030272,-20.584990,43.896923
-21.030272,-19.503050,43.896923
-21.030272,-18.421110,43.896923
-21.030272,-17.339170,43.896923
-21.030272,-16.257230,43.896923
-21.030272,-15.175290,43.896923
-21.030272,-14.093350,9.438523
-21.030272,-13.011410,6.698366
-21.030272,-11.929470,5.424265
-21.030272,-10.847530,7.709677
-21.030272,-9.765590,6.698366
-21.030272,-8.683650,5.424265
-21.030272,-7.601710,5.424265
-21.030272,-6.519770,3.695418
-21.030272,-5.437830,5.424265
-21.030272,-4.355890,4.969519
-21.030272,-3.273950,6.698366
-21.030272,-2.192010,4.251982
-21.030272,-1.110070,4.585036
-21.030272,-0.028130,5.424265
-21.030272,1.053810,5.424265
-21.030272,2.135750,4.585036
-21.030272,3.217690,6.698366
-21.030272,4.299630,4.969519
-21.030272,5.381570,4.969519
-21.030272,6.463510,5.424265
-21.030272,7.545450,6.698366
-21.030272,8.627390,9.438523
-21.030272,9.709330,6.698366
-21.030272,10.791270,6.698366
-21.030272,11.873210,9.438523
-21.030272,12.955150,7.709677
-21.030272,14.037090,5.980830
-21.030272,15.119030,7.709677
-21.030272,16.200970,7.709677
-21.030272,17.282910,43.896923
-21.030272,18.364850,9.438523
-21.030272,19.446790,43.896923
-21.030272,20.528730,43.896923
