PC1_Angstrom,PC2_Angstrom,DeltaG_kJmol
-35.898005,-20.118310,44.831483
-35.898005,-19.019930,44.831483
-35.898005,-17.921550,44.831483
-35.898005,-16.823170,44.831483
-35.898005,-15.724790,44.831483
-35.898005,-14.626410,44.831483
-35.898005,-13.528030,44.831483
-35.898005,-12.429650,44.831483
-35.898005,-11.331270,44.831483
-35.898005,-10.232890,44.831483
-35.898005,-9.134510,44.831483
-35.898005,-8.036130,44.831483
-35.898005,-6.937750,44.831483
-35.898005,-5.839370,44.831483
-35.898005,-4.740990,44.831483
-35.898005,-3.642610,10.373084
-35.898005,-2.544230,44.831483
-35.898005,-1.445850,44.831483
-35.898005,-0.347470,44.831483
-35.898005,0.750910,44.831483
-35.898005,1.849290,44.831483
-35.898005,2.947670,44.831483
-35.898005,4.046050,44.831483
-35.898005,5.144430,44.831483
-35.898005,6.242810,44.831483
-35.898005,7.341190,44.831483
-35.898005,8.439570,44.831483
-35.898005,9.537950,44.831483
-35.898005,10.636330,44.831483
-35.898005,11.734710,44.831483
-35.898005,12.833090,44.831483
-35.898005,13.931470,44.831483
-35.898005,15.029850,44.831483
-35.898005,16.128230,44.831483
-35.898005,17.226610,44.831483
-35.898005,18.324990,44.831483
-35.898005,19.423370,44.831483
-35.898005,20.521750,44.831483
-35.898005,21.620130,44.831483
-35.898005,22.718510,44.831483
-35.898005,23.816890,44.831483
-35.898005,24.915270,44.831483
-35.898005,26.013650,44.831483
-35.898005,27.112030,44.831483
-35.898005,28.210410,44.831483
-35.898005,29.308790,44.831483
-35.898005,30.407170,44.831483
-35.898005,31.505550,44.831483
-35.898005,32.603930,44.831483
-35.898005,33.702310,44.831483
-34.603215,-20.118310,44.831483
-34.603215,-19.019930,44.831483
-34.603215,-17.921550,44.831483
-34.603215,-16.823170,44.831483
-34.603215,-15.724790,44.831483
-34.603215,-14.626410,44.831483
-34.603215,-13.528030,44.831483
-34.603215,-12.429650,44.831483
-34.603215,-11.331270,44.831483
-34.603215,-10.232890,44.831483
-34.603215,-9.134510,44.831483
-34.603215,-8.036130,44.831483
-34.603215,-6.937750,44.831483
-34.603215,-5.839370,8.644237
-34.603215,-4.740990,10.373084
-34.603215,-3.642610,44.831483
-34.603215,-2.544230,10.373084
-34.603215,-1.445850,44.831483
-34.603215,-0.347470,44.831483
-34.603215,0.750910,44.831483
-34.603215,1.849290,44.831483
-34.603215,2.947670,44.831483
-34.603215,4.046050,44.831483
-34.603215,5.144430,44.831483
-34.603215,6.242810,44.831483
-34.603215,7.341190,44.831483
-34.603215,8.439570,44.831483
-34.603215,9.537950,44.831483
-34.603215,10.636330,44.831483
-34.603215,11.734710,44.831483
-34.603215,12.833090,44.831483
-34.603215,13.931470,44.831483
-34.603215,15.029850,44.831483
-34.603215,16.128230,44.831483
-34.603215,17.226610,44.831483
-34.603215,18.324990,44.831483
-34.603215,19.423370,44.831483
-34.603215,20.521750,44.831483
-34.603215,21.620130,44.831483
-34.603215,22.718510,44.831483
-34.603215,23.816890,44.831483
-34.603215,24.915270,44.831483
-34.603215,26.013650,44.831483
-34.603215,27.112030,44.831483
-34.603215,28.210410,44.831483
-34.603215,29.308790,44.831483
-34.603215,30.407170,44.831483
-34.603215,31.505550,44.831483
-34.603215,32.603930,44.831483
-34.603215,33.702310,44.831483
-33.308425,-20.118310,44.831483
-33.308425,-19.019930,44.831483
-33.308425,-17.921550,44.831483
-33.308425,-16.823170,44.831483
-33.308425,-15.724790,44.831483
-33.308425,-14.626410,44.831483
-33.308425,-13.528030,44.831483
-33.308425,-12.429650,44.831483
-33.308425,-11.331270,44.831483
-33.308425,-10.232890,44.831483
-33.308425,-9.134510,10.373084
-33.308425,-8.036130,10.373084
-33.308425,-6.937750,44.831483
-33.308425,-5.839370,44.831483
-33.308425,-4.740990,7.632927
-33.308425,-3.642610,44.831483
-33.308425,-2.544230,8.644237
-33.308425,-1.445850,44.831483
-33.308425,-0.347470,8.644237
-33.308425,0.750910,44.831483
-33.308425,1.849290,10.373084
-33.308425,2.947670,44.831483
-33.308425,4.046050,44.831483
-33.308425,5.144430,44.831483
-33.308425,6.242810,44.831483
-33.308425,7.341190,44.831483
-33.308425,8.439570,44.831483
-33.308425,9.537950,44.831483
-33.308425,10.636330,44.831483
-33.308425,11.734710,44.831483
-33.308425,12.833090,44.831483
-33.308425,13.931470,44.831483
-33.308425,15.029850,44.831483
-33.308425,16.128230,44.831483
-33.308425,17.226610,44.831483
-33.308425,18.324990,44.831483
-33.308425,19.423370,44.831483
-33.308425,20.521750,44.831483
-33.308425,21.620130,44.831483
-33.308425,22.718510,44.831483
-33.308425,23.816890,44.831483
-33.308425,24.915270,44.831483
-33.308425,26.013650,44.831483
-33.308425,27.112030,44.831483
-33.308425,28.210410,44.831483
-33.308425,29.308790,44.831483
-33.308425,30.407170,44.831483
-33.308425,31.505550,44.831483
-33.308425,32.603930,44.831483
-33.308425,33.702310,44.831483
-32.013635,-20.118310,44.831483
-32.013635,-19.019930,44.831483
-32.013635,-17.921550,44.831483
-32.013635,-16.823170,44.831483
-32.013635,-15.724790,44.831483
-32.013635,-14.626410,44.831483
-32.013635,-13.528030,44.831483
-32.013635,-12.429650,44.831483
-32.013635,-11.331270,10.373084
-32.013635,-10.232890,44.831483
-32.013635,-9.134510,10.373084
-32.013635,-8.036130,8.644237
-32.013635,-6.937750,10.373084
-32.013635,-5.839370,44.831483
-32.013635,-4.740990,7.632927
-32.013635,-3.642610,10.373084
-32.013635,-2.544230,44.831483
-32.013635,-1.445850,44.831483
-32.013635,-0.347470,8.644237
-32.013635,0.750910,10.373084
-32.013635,1.849290,44.831483
-32.013635,2.947670,44.831483
-32.013635,4.046050,44.831483
-32.013635,5.144430,44.831483
-32.013635,6.242810,44.831483
-32.013635,7.341190,44.831483
-32.013635,8.439570,44.831483
-32.013635,9.537950,44.831483
-32.013635,10.636330,44.831483
-32.013635,11.734710,44.831483
-32.013635,12.833090,44.831483
-32.013635,13.931470,44.831483
-32.013635,15.029850,44.831483
-32.013635,16.128230,44.831483
-32.013635,17.226610,44.831483
-32.013635,18.324990,44.831483
-32.013635,19.423370,44.831483
-32.013635,20.521750,44.831483
-32.013635,21.620130,44.831483
-32.013635,22.718510,44.831483
-32.013635,23.816890,44.831483
-32.013635,24.915270,44.831483
-32.013635,26.013650,44.831483
-32.013635,27.112030,44.831483
-32.013635,28.210410,44.831483
-32.013635,29.308790,44.831483
-32.013635,30.407170,44.831483
-32.013635,31.505550,44.831483
-32.013635,32.603930,44.831483
-32.013635,33.702310,44.831483
-30.718845,-20.118310,44.831483
-30.718845,-19.019930,44.831483
-30.718845,-17.921550,44.831483
-30.718845,-16.823170,44.831483
-30.718845,-15.724790,10.373084
-30.718845,-14.626410,44.831483
-30.718845,-13.528030,8.644237
-30.718845,-12.429650,8.644237
-30.718845,-11.331270,8.644237
-30.718845,-10.232890,44.831483
-30.718845,-9.134510,6.358826
-30.718845,-8.036130,44.831483
-30.718845,-6.937750,8.644237
-30.718845,-5.839370,6.915390
-30.718845,-4.740990,6.915390
-30.718845,-3.642610,8.644237
-30.718845,-2.544230,44.831483
-30.718845,-1.445850,10.373084
-30.718845,-0.347470,8.644237
-30.718845,0.750910,8.644237
-30.718845,1.849290,44.831483
-30.718845,2.947670,44.831483
-30.718845,4.046050,44.831483
-30.718845,5.144430,44.831483
-30.718845,6.242810,44.831483
-30.718845,7.341190,44.831483
-30.718845,8.439570,44.831483
-30.718845,9.537950,44.831483
-30.718845,10.636330,44.831483
-30.718845,11.734710,44.831483
-30.718845,12.833090,44.831483
-30.718845,13.931470,44.831483
-30.718845,15.029850,44.831483
-30.718845,16.128230,44.831483
-30.718845,17.226610,44.831483
-30.718845,18.324990,44.831483
-30.718845,19.423370,44.831483
-30.718845,20.521750,44.831483
-30.718845,21.620130,44.831483
-30.718845,22.718510,44.831483
-30.718845,23.816890,44.831483
-30.718845,24.915270,44.831483
-30.718845,26.013650,44.831483
-30.718845,27.112030,44.831483
-30.718845,28.210410,44.831483
-30.718845,29.308790,44.831483
-30.718845,30.407170,44.831483
-30.718845,31.505550,44.831483
-30.718845,32.603930,44.831483
-30.718845,33.702310,44.831483
-29.424055,-20.118310,44.831483
-29.424055,-19.019930,44.831483
-29.424055,-17.921550,44.831483
-29.424055,-16.823170,7.632927
-29.424055,-15.724790,8.644237
-29.424055,-14.626410,8.644237
-29.424055,-13.528030,5.904079
-29.424055,-12.429650,10.373084
-29.424055,-11.331270,10.373084
-29.424055,-10.232890,8.644237
-29.424055,-9.134510,44.831483
-29.424055,-8.036130,44.831483
-29.424055,-6.937750,10.373084
-29.424055,-5.839370,10.373084
-29.424055,-4.740990,7.632927
-29.424055,-3.642610,10.373084
-29.424055,-2.544230,7.632927
-29.424055,-1.445850,6.358826
-29.424055,-0.347470,44.831483
-29.424055,0.750910,7.632927
-29.424055,1.849290,44.831483
-29.424055,2.947670,10.373084
-29.424055,4.046050,44.831483
-29.424055,5.144430,8.644237
-29.424055,6.242810,10.373084
-29.424055,7.341190,10.373084
-29.424055,8.439570,44.831483
-29.424055,9.537950,44.831483
-29.424055,10.636330,44.831483
-29.424055,11.734710,44.831483
-29.424055,12.833090,44.831483
-29.424055,13.931470,44.831483
-29.424055,15.029850,44.831483
-29.424055,16.128230,44.831483
-29.424055,17.226610,44.831483
-29.424055,18.324990,44.831483
-29.424055,19.423370,44.831483
-29.424055,20.521750,44.831483
-29.424055,21.620130,44.831483
-29.424055,22.718510,44.831483
-29.424055,23.816890,44.831483
-29.424055,24.915270,44.831483
-29.424055,26.013650,44.831483
-29.424055,27.112030,44.831483
-29.424055,28.210410,44.831483
-29.424055,29.308790,44.831483
-29.424055,30.407170,44.831483
-29.424055,31.505550,44.831483
-29.424055,32.603930,44.831483
-29.424055,33.702310,44.831483
-28.129265,-20.118310,44.831483
-28.129265,-19.019930,44.831483
-28.129265,-17.921550,10.373084
-28.129265,-16.823170,10.373084
-28.129265,-15.724790,5.904079
-28.129265,-14.626410,8.644237
-28.129265,-13.528030,7.632927
-28.129265,-12.429650,7.632927
-28.129265,-11.331270,6.358826
-28.129265,-10.232890,6.915390
-28.129265,-9.134510,7.632927
-28.129265,-8.036130,7.632927
-28.129265,-6.937750,10.373084
-28.129265,-5.839370,8.644237
-28.129265,-4.740990,7.632927
-28.129265,-3.642610,6.915390
-28.129265,-2.544230,7.632927
-28.129265,-1.445850,8.644237
-28.129265,-0.347470,7.632927
-28.129265,0.750910,44.831483
-28.129265,1.849290,44.831483
-28.129265,2.947670,10.373084
-28.129265,4.046050,44.831483
-28.129265,5.144430,8.644237
-28.129265,6.242810,44.831483
-28.129265,7.341190,44.831483
-28.129265,8.439570,44.831483
-28.129265,9.537950,44.831483
-28.129265,10.636330,44.831483
-28.129265,11.734710,44.831483
-28.129265,12.833090,44.831483
-28.129265,13.931470,44.831483
-28.129265,15.029850,44.831483
-28.129265,16.128230,44.831483
-28.129265,17.226610,44.831483
-28.129265,18.324990,44.831483
-28.129265,19.423370,44.831483
-28.129265,20.521750,44.831483
-28.129265,21.620130,44.831483
-28.129265,22.718510,44.831483
