GENERALIZED BORN:,,,,,,,,,,,,,,,,,,
Complex Energy Terms,,,,,,,,,,,,,,,,,,
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL,,,
1,2430.8,5591.89,7777.97,685.2,414.29,-344.65,-5604.73,-46102.65,2553.9,32314.21,-9071.83,226.93,-283.76,-8844.9,-9128.66,,,
11,2499.31,5740.13,7732.28,686.49,376.42,-321.32,-5469.72,-45338.85,2466.7,32207.7,-9686.89,249.8,579.14,-9437.09,-8857.95,,,
21,2534.41,5701.24,7705.61,702.22,362.59,-356.14,-5450.17,-45550.98,2483.68,32329.56,-9671.48,250.45,462.02,-9421.03,-8959.01,,,
31,2561.92,5646.26,7743.23,674.21,387.23,-391.64,-5344.97,-45553.05,2458.66,32244.23,-9634.18,255.64,426.09,-9378.54,-8952.45,,,
41,2573,5595.25,7762.26,678.01,390.83,-369.19,-5441.52,-45536.37,2437.56,32171.6,-9540.92,248.51,261.44,-9292.41,-9030.97,,,
51,2554.5,5617.94,7671.78,682.39,404.12,-352.55,-5429.71,-45483.08,2470.22,32341.64,-9709.62,254.88,477.25,-9454.74,-8977.49,,,
61,2509.83,5689.33,7745.98,696.53,396.45,-359.65,-5535.67,-45495.62,2517.34,32257.22,-9647.17,248.75,421.74,-9398.42,-8976.67,,,
71,2571.03,5741.69,7691.73,696.12,371.56,-363.01,-5404.18,-45521.62,2472.94,32140.48,-9611.33,249.68,396.75,-9361.65,-8964.9,,,
81,2533.13,5794.45,7746.18,699.12,400.64,-379.18,-5496.16,-45732.9,2469.7,32197.37,-9417.47,247.47,232.36,-9170,-8937.64,,,
91,2512.1,5662.68,7719.26,694.38,362.62,-357.02,-5497.8,-45604.15,2511.66,32175.35,-9495.86,247.48,179.09,-9248.37,-9069.29,,,
101,2548.84,5727.44,7666.15,697.78,397.17,-375.84,-5465.37,-45702.2,2514.07,32345.29,-9515.52,247.26,353.33,-9268.26,-8914.93,,,
111,2578.27,5841.16,7753.99,703.73,411.98,-405.41,-5425.32,-45508.74,2460.69,32028.78,-9551.15,254.36,439.13,-9296.79,-8857.66,,,
121,2543.5,5646.11,7637.27,704.59,368.81,-353.29,-5454.34,-45572.87,2476.56,32118.76,-9479.45,247.48,115.1,-9231.97,-9116.87,,,
