PC1_Angstrom,PC2_Angstrom,DeltaG_kJmol
-73.289390,-97.846905,45.653954
-73.289390,-93.654515,45.653954
-73.289390,-89.462125,45.653954
-73.289390,-85.269735,45.653954
-73.289390,-81.077345,45.653954
-73.289390,-76.884955,45.653954
-73.289390,-72.692565,45.653954
-73.289390,-68.500175,45.653954
-73.289390,-64.307785,45.653954
-73.289390,-60.115395,45.653954
-73.289390,-55.923005,45.653954
-73.289390,-51.730615,45.653954
-73.289390,-47.538225,45.653954
-73.289390,-43.345835,45.653954
-73.289390,-39.153445,45.653954
-73.289390,-34.961055,45.653954
-73.289390,-30.768665,45.653954
-73.289390,-26.576275,11.195554
-73.289390,-22.383885,11.195554
-73.289390,-18.191495,45.653954
-73.289390,-13.999105,11.195554
-73.289390,-9.806715,7.737861
-73.289390,-5.614325,11.195554
-73.289390,-1.421935,45.653954
-73.289390,2.770455,45.653954
-73.289390,6.962845,45.653954
-73.289390,11.155235,45.653954
-73.289390,15.347625,45.653954
-73.289390,19.540015,45.653954
-73.289390,23.732405,45.653954
-73.289390,27.924795,45.653954
-73.289390,32.117185,45.653954
-73.289390,36.309575,45.653954
-73.289390,40.501965,45.653954
-73.289390,44.694355,45.653954
-73.289390,48.886745,45.653954
-73.289390,53.079135,45.653954
-73.289390,57.271525,45.653954
-73.289390,61.463915,45.653954
-73.289390,65.656305,45.653954
-73.289390,69.848695,45.653954
-73.289390,74.041085,45.653954
-73.289390,78.233475,45.653954
-73.289390,82.425865,45.653954
-73.289390,86.618255,45.653954
-73.289390,90.810645,45.653954
-73.289390,95.003035,45.653954
-73.289390,99.195425,45.653954
-73.289390,103.387815,45.653954
-73.289390,107.580205,45.653954
-69.042570,-97.846905,45.653954
-69.042570,-93.654515,45.653954
-69.042570,-89.462125,45.653954
-69.042570,-85.269735,45.653954
-69.042570,-81.077345,45.653954
-69.042570,-76.884955,45.653954
-69.042570,-72.692565,45.653954
-69.042570,-68.500175,45.653954
-69.042570,-64.307785,45.653954
-69.042570,-60.115395,45.653954
-69.042570,-55.923005,45.653954
-69.042570,-51.730615,45.653954
-69.042570,-47.538225,45.653954
-69.042570,-43.345835,45.653954
-69.042570,-39.153445,45.653954
-69.042570,-34.961055,11.195554
-69.042570,-30.768665,6.342067
-69.042570,-26.576275,9.466708
-69.042570,-22.383885,6.726550
-69.042570,-18.191495,6.009013
-69.042570,-13.999105,7.181296
-69.042570,-9.806715,6.726550
-69.042570,-5.614325,9.466708
-69.042570,-1.421935,11.195554
-69.042570,2.770455,45.653954
-69.042570,6.962845,45.653954
-69.042570,11.155235,45.653954
-69.042570,15.347625,45.653954
-69.042570,19.540015,45.653954
-69.042570,23.732405,45.653954
-69.042570,27.924795,45.653954
-69.042570,32.117185,45.653954
-69.042570,36.309575,45.653954
-69.042570,40.501965,45.653954
-69.042570,44.694355,45.653954
-69.042570,48.886745,45.653954
-69.042570,53.079135,45.653954
-69.042570,57.271525,45.653954
-69.042570,61.463915,45.653954
-69.042570,65.656305,45.653954
-69.042570,69.848695,45.653954
-69.042570,74.041085,45.653954
-69.042570,78.233475,45.653954
-69.042570,82.425865,45.653954
-69.042570,86.618255,45.653954
-69.042570,90.810645,45.653954
-69.042570,95.003035,45.653954
-69.042570,99.195425,45.653954
-69.042570,103.387815,45.653954
-69.042570,107.580205,45.653954
-64.795750,-97.846905,45.653954
-64.795750,-93.654515,45.653954
-64.795750,-89.462125,45.653954
-64.795750,-85.269735,45.653954
-64.795750,-81.077345,45.653954
-64.795750,-76.884955,45.653954
-64.795750,-72.692565,45.653954
-64.795750,-68.500175,45.653954
-64.795750,-64.307785,45.653954
-64.795750,-60.115395,45.653954
-64.795750,-55.923005,45.653954
-64.795750,-51.730615,45.653954
-64.795750,-47.538225,45.653954
-64.795750,-43.345835,11.195554
-64.795750,-39.153445,8.455397
-64.795750,-34.961055,11.195554
-64.795750,-30.768665,6.726550
-64.795750,-26.576275,6.342067
-64.795750,-22.383885,3.723601
-64.795750,-18.191495,3.986391
-64.795750,-13.999105,6.726550
-64.795750,-9.806715,8.455397
-64.795750,-5.614325,6.726550
-64.795750,-1.421935,45.653954
-64.795750,2.770455,45.653954
-64.795750,6.962845,45.653954
-64.795750,11.155235,45.653954
-64.795750,15.347625,45.653954
-64.795750,19.540015,45.653954
-64.795750,23.732405,45.653954
-64.795750,27.924795,45.653954
-64.795750,32.117185,45.653954
-64.795750,36.309575,45.653954
-64.795750,40.501965,45.653954
-64.795750,44.694355,45.653954
-64.795750,48.886745,45.653954
-64.795750,53.079135,45.653954
-64.795750,57.271525,45.653954
-64.795750,61.463915,45.653954
-64.795750,65.656305,45.653954
-64.795750,69.848695,45.653954
-64.795750,74.041085,45.653954
-64.795750,78.233475,45.653954
-64.795750,82.425865,45.653954
-64.795750,86.618255,45.653954
-64.795750,90.810645,45.653954
-64.795750,95.003035,45.653954
-64.795750,99.195425,45.653954
-64.795750,103.387815,45.653954
-64.795750,107.580205,45.653954
-60.548930,-97.846905,45.653954
-60.548930,-93.654515,45.653954
-60.548930,-89.462125,45.653954
-60.548930,-85.269735,45.653954
-60.548930,-81.077345,45.653954
-60.548930,-76.884955,45.653954
-60.548930,-72.692565,45.653954
-60.548930,-68.500175,45.653954
-60.548930,-64.307785,45.653954
-60.548930,-60.115395,45.653954
-60.548930,-55.923005,45.653954
-60.548930,-51.730615,45.653954
-60.548930,-47.538225,45.653954
-60.548930,-43.345835,45.653954
-60.548930,-39.153445,5.452449
-60.548930,-34.961055,4.441138
-60.548930,-30.768665,2.796848
-60.548930,-26.576275,2.712290
-60.548930,-22.383885,2.400108
-60.548930,-18.191495,2.884372
-60.548930,-13.999105,3.601909
-60.548930,-9.806715,6.342067
-60.548930,-5.614325,6.726550
-60.548930,-1.421935,9.466708
-60.548930,2.770455,45.653954
-60.548930,6.962845,45.653954
-60.548930,11.155235,45.653954
-60.548930,15.347625,11.195554
-60.548930,19.540015,7.737861
-60.548930,23.732405,11.195554
-60.548930,27.924795,45.653954
-60.548930,32.117185,45.653954
-60.548930,36.309575,45.653954
-60.548930,40.501965,45.653954
-60.548930,44.694355,45.653954
-60.548930,48.886745,45.653954
-60.548930,53.079135,45.653954
-60.548930,57.271525,45.653954
-60.548930,61.463915,45.653954
-60.548930,65.656305,45.653954
-60.548930,69.848695,45.653954
-60.548930,74.041085,45.653954
-60.548930,78.233475,45.653954
-60.548930,82.425865,45.653954
-60.548930,86.618255,45.653954
-60.548930,90.810645,45.653954
-60.548930,95.003035,45.653954
-60.548930,99.195425,45.653954
-60.548930,103.387815,45.653954
-60.548930,107.580205,45.653954
-56.302110,-97.846905,45.653954
-56.302110,-93.654515,45.653954
-56.302110,-89.462125,45.653954
-56.302110,-85.269735,45.653954
-56.302110,-81.077345,45.653954
-56.302110,-76.884955,45.653954
-56.302110,-72.692565,45.653954
-56.302110,-68.500175,45.653954
-56.302110,-64.307785,45.653954
-56.302110,-60.115395,45.653954
-56.302110,-55.923005,45.653954
-56.302110,-51.730615,45.653954
-56.302110,-47.538225,9.466708
-56.302110,-43.345835,8.455397
-56.302110,-39.153445,3.268855
-56.302110,-34.961055,1.068000
-56.302110,-30.768665,1.246233
-56.302110,-26.576275,1.700979
-56.302110,-22.383885,0.942215
-56.302110,-18.191495,1.814371
-56.302110,-13.999105,2.975080
-56.302110,-9.806715,3.268855
-56.302110,-5.614325,6.342067
-56.302110,-1.421935,8.455397
-56.302110,2.770455,9.466708
-56.302110,6.962845,45.653954
-56.302110,11.155235,45.653954
-56.302110,15.347625,8.455397
-56.302110,19.540015,7.737861
-56.302110,23.732405,6.726550
-56.302110,27.924795,9.466708
-56.302110,32.117185,45.653954
-56.302110,36.309575,45.653954
-56.302110,40.501965,45.653954
-56.302110,44.694355,45.653954
-56.302110,48.886745,45.653954
-56.302110,53.079135,45.653954
-56.302110,57.271525,45.653954
-56.302110,61.463915,45.653954
-56.302110,65.656305,45.653954
-56.302110,69.848695,45.653954
-56.302110,74.041085,45.653954
-56.302110,78.233475,45.653954
-56.302110,82.425865,45.653954
-56.302110,86.618255,45.653954
-56.302110,90.810645,45.653954
-56.302110,95.003035,45.653954
-56.302110,99.195425,45.653954
-56.302110,103.387815,45.653954
-56.302110,107.580205,45.653954
-52.055290,-97.846905,45.653954
-52.055290,-93.654515,45.653954
-52.055290,-89.462125,45.653954
-52.055290,-85.269735,45.653954
-52.055290,-81.077345,45.653954
-52.055290,-76.884955,45.653954
-52.055290,-72.692565,45.653954
-52.055290,-68.500175,45.653954
-52.055290,-64.307785,45.653954
-52.055290,-60.115395,45.653954
-52.055290,-55.923005,45.653954
-52.055290,-51.730615,11.195554
-52.055290,-47.538225,5.715239
-52.055290,-43.345835,3.851537
-52.055290,-39.153445,1.488579
-52.055290,-34.961055,0.297280
-52.055290,-30.768665,0.265906
-52.055290,-26.576275,0.598960
-52.055290,-22.383885,0.265906
-52.055290,-18.191495,1.700979
-52.055290,-13.999105,4.280166
-52.055290,-9.806715,4.128956
-52.055290,-5.614325,5.214726
-52.055290,-1.421935,7.181296
-52.055290,2.770455,45.653954
-52.055290,6.962845,45.653954
-52.055290,11.155235,11.195554
-52.055290,15.347625,8.455397
-52.055290,19.540015,8.455397
-52.055290,23.732405,6.342067
-52.055290,27.924795,9.466708
-52.055290,32.117185,7.737861
-52.055290,36.309575,6.342067
-52.055290,40.501965,11.195554
-52.055290,44.694355,45.653954
-52.055290,48.886745,45.653954
-52.055290,53.079135,45.653954
-52.055290,57.271525,45.653954
-52.055290,61.463915,45.653954
-52.055290,65.656305,45.653954
-52.055290,69.848695,45.653954
-52.055290,74.041085,45.653954
-52.055290,78.233475,45.653954
-52.055290,82.425865,45.653954
-52.055290,86.618255,45.653954
-52.055290,90.810645,45.653954
-52.055290,95.003035,45.653954
-52.055290,99.195425,45.653954
-52.055290,103.387815,45.653954
-52.055290,107.580205,45.653954
-47.808470,-97.846905,45.653954
