PC1_Angstrom,PC2_Angstrom,DeltaG_kJmol
-125.114578,-100.922449,45.419032
-125.114578,-97.679547,45.419032
-125.114578,-94.436645,45.419032
-125.114578,-91.193743,45.419032
-125.114578,-87.950841,45.419032
-125.114578,-84.707939,45.419032
-125.114578,-81.465037,45.419032
-125.114578,-78.222135,45.419032
-125.114578,-74.979233,45.419032
-125.114578,-71.736331,45.419032
-125.114578,-68.493429,45.419032
-125.114578,-65.250527,45.419032
-125.114578,-62.007625,45.419032
-125.114578,-58.764723,45.419032
-125.114578,-55.521821,45.419032
-125.114578,-52.278919,45.419032
-125.114578,-49.036017,45.419032
-125.114578,-45.793115,9.231786
-125.114578,-42.550213,45.419032
-125.114578,-39.307311,9.231786
-125.114578,-36.064409,10.960633
-125.114578,-32.821507,45.419032
-125.114578,-29.578605,45.419032
-125.114578,-26.335703,45.419032
-125.114578,-23.092801,45.419032
-125.114578,-19.849899,45.419032
-125.114578,-16.606997,45.419032
-125.114578,-13.364095,45.419032
-125.114578,-10.121193,45.419032
-125.114578,-6.878291,45.419032
-125.114578,-3.635389,45.419032
-125.114578,-0.392487,45.419032
-125.114578,2.850415,45.419032
-125.114578,6.093317,45.419032
-125.114578,9.336219,45.419032
-125.114578,12.579121,45.419032
-125.114578,15.822023,45.419032
-125.114578,19.064925,45.419032
-125.114578,22.307827,45.419032
-125.114578,25.550729,45.419032
-125.114578,28.793631,45.419032
-125.114578,32.036533,45.419032
-125.114578,35.279435,45.419032
-125.114578,38.522337,45.419032
-125.114578,41.765239,45.419032
-125.114578,45.008141,45.419032
-125.114578,48.251043,45.419032
-125.114578,51.493945,45.419032
-125.114578,54.736847,45.419032
-125.114578,57.979749,45.419032
-121.046334,-100.922449,45.419032
-121.046334,-97.679547,45.419032
-121.046334,-94.436645,45.419032
-121.046334,-91.193743,45.419032
-121.046334,-87.950841,45.419032
-121.046334,-84.707939,45.419032
-121.046334,-81.465037,45.419032
-121.046334,-78.222135,45.419032
-121.046334,-74.979233,45.419032
-121.046334,-71.736331,45.419032
-121.046334,-68.493429,45.419032
-121.046334,-65.250527,45.419032
-121.046334,-62.007625,45.419032
-121.046334,-58.764723,45.419032
-121.046334,-55.521821,45.419032
-121.046334,-52.278919,45.419032
-121.046334,-49.036017,45.419032
-121.046334,-45.793115,10.960633
-121.046334,-42.550213,10.960633
-121.046334,-39.307311,10.960633
-121.046334,-36.064409,45.419032
-121.046334,-32.821507,45.419032
-121.046334,-29.578605,45.419032
-121.046334,-26.335703,45.419032
-121.046334,-23.092801,45.419032
-121.046334,-19.849899,45.419032
-121.046334,-16.606997,45.419032
-121.046334,-13.364095,45.419032
-121.046334,-10.121193,45.419032
-121.046334,-6.878291,45.419032
-121.046334,-3.635389,45.419032
-121.046334,-0.392487,45.419032
-121.046334,2.850415,45.419032
-121.046334,6.093317,45.419032
-121.046334,9.336219,45.419032
-121.046334,12.579121,45.419032
-121.046334,15.822023,45.419032
-121.046334,19.064925,45.419032
-121.046334,22.307827,45.419032
-121.046334,25.550729,45.419032
-121.046334,28.793631,45.419032
-121.046334,32.036533,45.419032
-121.046334,35.279435,45.419032
-121.046334,38.522337,45.419032
-121.046334,41.765239,45.419032
-121.046334,45.008141,45.419032
-121.046334,48.251043,45.419032
-121.046334,51.493945,45.419032
-121.046334,54.736847,45.419032
-121.046334,57.979749,45.419032
-116.978090,-100.922449,45.419032
-116.978090,-97.679547,45.419032
-116.978090,-94.436645,45.419032
-116.978090,-91.193743,45.419032
-116.978090,-87.950841,45.419032
-116.978090,-84.707939,45.419032
-116.978090,-81.465037,45.419032
-116.978090,-78.222135,45.419032
-116.978090,-74.979233,45.419032
-116.978090,-71.736331,45.419032
-116.978090,-68.493429,45.419032
-116.978090,-65.250527,45.419032
-116.978090,-62.007625,45.419032
-116.978090,-58.764723,45.419032
-116.978090,-55.521821,45.419032
-116.978090,-52.278919,45.419032
-116.978090,-49.036017,45.419032
-116.978090,-45.793115,10.960633
-116.978090,-42.550213,9.231786
-116.978090,-39.307311,10.960633
-116.978090,-36.064409,10.960633
-116.978090,-32.821507,45.419032
-116.978090,-29.578605,45.419032
-116.978090,-26.335703,45.419032
